date,value,yoy_chg,mom_chg_raw,mom_chg_ann,data_element_text,industry_text,val_type_text
2025-01-01,26991000,0.036879105681687285,61000,0.027522786058489457,All Employees,Private education and health services,ts_line
2025-01-01,8291000,0.021940096141994436,4000,0.005807606341361238,All Employees,Construction,ts_line
2025-01-01,23590000,0.018874443916555128,32000,0.016422525840593227,All Employees,Government,ts_line
2025-01-01,6021000,0.01757647456481326,17000,0.03451150197599917,All Employees,Other services,ts_line
2025-01-01,16978000,0.015430622009569461,-3000,-0.0021179577362583357,All Employees,Leisure and hospitality,ts_line
2025-01-01,159069000,0.01286222771237,143000,0.010851073699985614,All Employees,Total nonfarm,ts_line
2025-01-01,29059000,0.008327839272701976,38000,0.0158264133724908,All Employees,"Trade, transportation, and utilities",ts_line
2025-01-01,9220000,0.006001091107474155,7000,0.009155749079842845,All Employees,Financial activities,ts_line
2025-01-01,22598000,-0.003044072881281168,-11000,-0.0058227851763196226,All Employees,Professional and business services,ts_line
2025-01-01,2945000,-0.0070802427511800214,2000,0.008185493679334854,All Employees,Information,ts_line
2025-01-01,12761000,-0.008161044613710589,3000,0.002825411156535118,All Employees,Manufacturing,ts_line
2025-01-01,615000,-0.026898734177215222,-7000,-0.12699491567632426,All Employees,Mining and logging,ts_line
2024-12-01,26930000,0.03848526916550976,82000,0.0372727556825172,All Employees,Private education and health services,ts_line
2024-12-01,8287000,0.02321274231386594,13000,0.01901802799325436,All Employees,Construction,ts_line
2024-12-01,23558000,0.019517895010169983,34000,0.017482528588296686,All Employees,Government,ts_line
2024-12-01,6004000,0.016593294954283744,9000,0.018164507199849966,All Employees,Other services,ts_line
2024-12-01,16981000,0.015124342419894798,49000,0.035285249022217524,All Employees,Leisure and hospitality,ts_line
2024-12-01,158926000,0.012719046708723702,307000,0.023474301984634183,All Employees,Total nonfarm,ts_line
2024-12-01,29021000,0.005787759062868325,69000,0.028976928313396932,All Employees,"Trade, transportation, and utilities",ts_line
2024-12-01,9213000,0.0040322580645162365,19000,0.025082598158649994,All Employees,Financial activities,ts_line
2024-12-01,22609000,-0.0024267560889515982,31000,0.016601208765794073,All Employees,Professional and business services,ts_line
2024-12-01,2943000,-0.00641458474004053,16000,0.06760469739782016,All Employees,Information,ts_line
2024-12-01,12758000,-0.00831713952584534,-12000,-0.011218330617314476,All Employees,Manufacturing,ts_line
2024-12-01,622000,-0.023547880690737877,-3000,-0.05610342948020097,All Employees,Mining and logging,ts_line
2024-11-01,26848000,0.038727898789027826,73000,0.033212176511720815,All Employees,Private education and health services,ts_line
2024-11-01,8274000,0.023376623376623273,6000,0.008743114330656221,All Employees,Construction,ts_line
2024-11-01,23524000,0.02051971714893064,17000,0.008712867532642665,All Employees,Government,ts_line
2024-11-01,5995000,0.015585295612400518,12000,0.024335478677553146,All Employees,Other services,ts_line
2024-11-01,158619000,0.012498324407478556,261000,0.019958245470675484,All Employees,Total nonfarm,ts_line
2024-11-01,16932000,0.012437215977038951,54000,0.03907603156286088,All Employees,Leisure and hospitality,ts_line
2024-11-01,28952000,0.006151172893136492,19000,0.007908799433325342,All Employees,"Trade, transportation, and utilities",ts_line
2024-11-01,9194000,0.002507905353832829,16000,0.0211213405568198,All Employees,Financial activities,ts_line
2024-11-01,22578000,-0.003574738514497522,37000,0.019876245173853224,All Employees,Professional and business services,ts_line
2024-11-01,12770000,-0.006843988178565907,20000,0.01898678063906334,All Employees,Manufacturing,ts_line
2024-11-01,2927000,-0.008468834688346916,5000,0.020728239227466583,All Employees,Information,ts_line
2024-11-01,625000,-0.01729559748427678,2000,0.03921079216168,All Employees,Mining and logging,ts_line
2024-10-01,26775000,0.04053318824809571,87000,0.03982775775063496,All Employees,Private education and health services,ts_line
2024-10-01,8268000,0.023774145616641817,1000,0.0014525204752584564,All Employees,Construction,ts_line
2024-10-01,23507000,0.02173251619072447,45000,0.023260294184026975,All Employees,Government,ts_line
2024-10-01,5983000,0.015961962981830613,1000,0.0020078634653206695,All Employees,Other services,ts_line
2024-10-01,158358000,0.011742908254536166,44000,0.003340246933691615,All Employees,Total nonfarm,ts_line
2024-10-01,16878000,0.011567275996404058,9000,0.006421096505894175,All Employees,Leisure and hospitality,ts_line
2024-10-01,28933000,0.003572667360388415,-10000,-0.004138210552056987,All Employees,"Trade, transportation, and utilities",ts_line
2024-10-01,9178000,4.360148245039497e-4,3000,0.0039307696739943054,All Employees,Financial activities,ts_line
2024-10-01,12750000,-0.0066999065129323965,-50000,-0.045880918409605065,All Employees,Manufacturing,ts_line
2024-10-01,22541000,-0.007266801726415917,-34000,-0.017924130313331066,All Employees,Professional and business services,ts_line
2024-10-01,2922000,-0.008483203257550032,-7000,-0.028304751667769246,All Employees,Information,ts_line
2024-10-01,623000,-0.023510971786833812,-1000,-0.019062169461115497,All Employees,Mining and logging,ts_line
2024-09-01,26688000,0.040954832670255126,98000,0.04513477778458963,All Employees,Private education and health services,ts_line
2024-09-01,8267000,0.0270841098273078,30000,0.04459143297497259,All Employees,Construction,ts_line
2024-09-01,23462000,0.02284418868253546,32000,0.016512918454929082,All Employees,Government,ts_line
2024-09-01,5982000,0.01665533650577844,7000,0.0141495187448899,All Employees,Other services,ts_line
2024-09-01,16869000,0.014005770617937063,51000,0.03700268537950713,All Employees,Leisure and hospitality,ts_line
2024-09-01,158314000,0.01266519119321452,240000,0.01837222835632124,All Employees,Total nonfarm,ts_line
2024-09-01,28943000,0.004930384361654161,31000,0.012942778775730579,All Employees,"Trade, transportation, and utilities",ts_line
2024-09-01,9175000,-7.623611413635212e-4,5000,0.006562733043146363,All Employees,Financial activities,ts_line
2024-09-01,12800000,-0.005361721967518829,0,0,All Employees,Manufacturing,ts_line
2024-09-01,22575000,-0.006556944199964776,-16000,-0.008465931318188957,All Employees,Professional and business services,ts_line
2024-09-01,2929000,-0.014799865455768613,0,0,All Employees,Information,ts_line
2024-09-01,624000,-0.025000000000000022,2000,0.03927495104207024,All Employees,Mining and logging,ts_line
2024-08-01,26590000,0.03997183979974972,65000,0.029805808529831612,All Employees,Private education and health services,ts_line
2024-08-01,8237000,0.024629929095658643,23000,0.03412350524446661,All Employees,Construction,ts_line
2024-08-01,23430000,0.024531024531024626,38000,0.01966896186486755,All Employees,Government,ts_line
2024-08-01,5975000,0.018755328218243772,0,0,All Employees,Other services,ts_line
2024-08-01,158074000,0.012152955639791019,71000,0.005405649585298322,All Employees,Total nonfarm,ts_line
2024-08-01,16818000,0.011000901713255296,26000,0.018739324712780725,All Employees,Leisure and hospitality,ts_line
2024-08-01,28912000,0.004481812180801237,-7000,-0.0029008008778906857,All Employees,"Trade, transportation, and utilities",ts_line
2024-08-01,9170000,-0.0021762785636560977,6000,0.007885185739469502,All Employees,Financial activities,ts_line
2024-08-01,12800000,-0.00435594275046669,-40000,-0.03674926076222462,All Employees,Manufacturing,ts_line
2024-08-01,22591000,-0.007250834944629969,-32000,-0.016842445235824788,All Employees,Professional and business services,ts_line
2024-08-01,2929000,-0.01546218487394957,-7000,-0.028238150048961463,All Employees,Information,ts_line
2024-08-01,622000,-0.028124999999999956,-1000,-0.01909249723142581,All Employees,Mining and logging,ts_line
2024-07-01,26525000,0.042321596982081156,61000,0.028013591146484496,All Employees,Private education and health services,ts_line
2024-07-01,23392000,0.025065731814198022,48000,0.02495540204447111,All Employees,Government,ts_line
2024-07-01,8214000,0.024956326428749787,11000,0.016210887612477576,All Employees,Construction,ts_line
2024-07-01,5975000,0.022066370167636018,1000,0.002010554744034332,All Employees,Other services,ts_line
2024-07-01,158003000,0.012716399925650101,88000,0.006707675624562981,All Employees,Total nonfarm,ts_line
2024-07-01,16792000,0.010957254665863836,9000,0.006454096805911025,All Employees,Leisure and hospitality,ts_line
2024-07-01,28919000,0.003748568255180329,-7000,-0.0029000998273698286,All Employees,"Trade, transportation, and utilities",ts_line
2024-07-01,12840000,-0.001788074321697919,1000,9.350527238987105e-4,All Employees,Manufacturing,ts_line
2024-07-01,9164000,-0.003046127067014792,-3000,-0.003920069050946773,All Employees,Financial activities,ts_line
2024-07-01,22623000,-0.00654312313367289,-16000,-0.008448051269463464,All Employees,Professional and business services,ts_line
2024-07-01,2936000,-0.021659446851049702,-17000,-0.06693639147058394,All Employees,Information,ts_line
2024-07-01,623000,-0.029595015576323935,0,0,All Employees,Mining and logging,ts_line
2024-06-01,26464000,0.04547070675147147,77000,0.03558475778846448,All Employees,Private education and health services,ts_line
2024-06-01,23344000,0.02466859801597754,21000,0.010858453277041713,All Employees,Government,ts_line
2024-06-01,8203000,0.024606545091181653,15000,0.02220624699689311,All Employees,Construction,ts_line
2024-06-01,5974000,0.024172809874849932,11000,0.02236249005311053,All Employees,Other services,ts_line
2024-06-01,157915000,0.013113407882158867,87000,0.006634887363927255,All Employees,Total nonfarm,ts_line
2024-06-01,16783000,0.012182618659911881,-8000,-0.005702390313587102,All Employees,Leisure and hospitality,ts_line
2024-06-01,28926000,0.003991531012460525,-9000,-0.0037261251938088824,All Employees,"Trade, transportation, and utilities",ts_line
2024-06-01,9167000,-0.0017423499945551368,8000,0.010531993789252736,All Employees,Financial activities,ts_line
2024-06-01,12839000,-0.0029509979032383837,-10000,-0.009299375170873203,All Employees,Manufacturing,ts_line
2024-06-01,22639000,-0.007931638913234007,-17000,-0.008967170109203892,All Employees,Professional and business services,ts_line
2024-06-01,2953000,-0.023478835978835932,0,0,All Employees,Information,ts_line
2024-06-01,623000,-0.02808112324492984,-1000,-0.019062169461115497,All Employees,Mining and logging,ts_line
2024-05-01,26387000,0.04614835665860517,79000,0.036635808418687965,All Employees,Private education and health services,ts_line
2024-05-01,8188000,0.027997489014438104,15000,0.02224741464918467,All Employees,Construction,ts_line
2024-05-01,23323000,0.02767129323639561,33000,0.017136138585470917,All Employees,Government,ts_line
2024-05-01,5963000,0.02527510316368642,9000,0.018290632063047152,All Employees,Other services,ts_line
2024-05-01,16791000,0.01732808239927297,23000,0.016584669008623765,All Employees,Leisure and hospitality,ts_line
2024-05-01,157828000,0.014227511663474912,193000,0.014791509254514779,All Employees,Total nonfarm,ts_line
2024-05-01,28935000,0.0035028091836026842,19000,0.00791346591044384,All Employees,"Trade, transportation, and utilities",ts_line
2024-05-01,12849000,-0.0019418983998756856,2000,0.001869740812025844,All Employees,Manufacturing,ts_line
2024-05-01,9159000,-0.002178886588953044,7000,0.009217031015508637,All Employees,Financial activities,ts_line
2024-05-01,22656000,-0.008316554320231151,11000,0.005844700034549621,All Employees,Professional and business services,ts_line
2024-05-01,2953000,-0.027018121911037918,1000,0.004072622963644301,All Employees,Information,ts_line
2024-05-01,624000,-0.028037383177570097,-6000,-0.10848535299368212,All Employees,Mining and logging,ts_line
2024-04-01,26308000,0.047918741286596234,94000,0.04388932666654277,All Employees,Private education and health services,ts_line
2024-04-01,23290000,0.028982946010426724,-11000,-0.005650307140564359,All Employees,Government,ts_line
2024-04-01,8173000,0.027404148334380984,3000,0.00441527467345848,All Employees,Construction,ts_line
2024-04-01,5954000,0.02619786280592895,8000,0.016265319405625034,All Employees,Other services,ts_line
2024-04-01,16768000,0.017599223206699932,-4000,-0.0028581616948977207,All Employees,Leisure and hospitality,ts_line
2024-04-01,157635000,0.014467104712749368,118000,0.009026637013003214,All Employees,Total nonfarm,ts_line
2024-04-01,28916000,0.003714117116178972,25000,0.010433418940255512,All Employees,"Trade, transportation, and utilities",ts_line
2024-04-01,12847000,-0.0032585925983397157,9000,0.008445037750058226,All Employees,Manufacturing,ts_line
2024-04-01,9152000,-0.003267262034415186,0,0,All Employees,Financial activities,ts_line
2024-04-01,22645000,-0.00875465090829508,8000,0.0042490973694644385,All Employees,Professional and business services,ts_line
2024-04-01,630000,-0.01253918495297801,-7000,-0.1241829301625087,All Employees,Mining and logging,ts_line
2024-04-01,2952000,-0.03213114754098356,-7000,-0.028021505880723274,All Employees,Information,ts_line
2024-03-01,26214000,0.04755434782608692,87000,0.040698665992070726,All Employees,Private education and health services,ts_line
2024-03-01,23301000,0.031702457383218974,77000,0.04052002955551526,All Employees,Government,ts_line
2024-03-01,8170000,0.030134913630059268,34000,0.051316303590291046,All Employees,Construction,ts_line
2024-03-01,5946000,0.026588397790055174,18000,0.0370519651003276,All Employees,Other services,ts_line
2024-03-01,16772000,0.020132595340915937,37000,0.026856234989235395,All Employees,Leisure and hospitality,ts_line
2024-03-01,157517000,0.015118804415773512,246000,0.018932472553207402,All Employees,Total nonfarm,ts_line
2024-03-01,637000,0.0031496062992126816,4000,0.07852115421790207,All Employees,Mining and logging,ts_line
2024-03-01,28891000,0.0020810932676633698,35000,0.014652522963914283,All Employees,"Trade, transportation, and utilities",ts_line
2024-03-01,9152000,0,-3000,-0.003925198060200641,All Employees,Financial activities,ts_line
2024-03-01,12838000,-0.004034134988363025,-15000,-0.013914970084497713,All Employees,Manufacturing,ts_line
2024-03-01,22637000,-0.008627485328895457,-24000,-0.012635290254125686,All Employees,Professional and business services,ts_line
2024-03-01,2959000,-0.03174083769633507,-4000,-0.016080055131284632,All Employees,Information,ts_line
2024-02-01,26127000,0.04704845108804556,96000,0.0451636988764097,All Employees,Private education and health services,ts_line
2024-02-01,23224000,0.029980486074152823,71000,0.03742572421223156,All Employees,Government,ts_line
2024-02-01,5928000,0.02507349126750813,11000,0.022538122226327006,All Employees,Other services,ts_line
2024-02-01,8136000,0.023782559456398733,23000,0.034554960096376375,All Employees,Construction,ts_line
2024-02-01,16735000,0.01893570384802734,15000,0.010818828901806521,All Employees,Leisure and hospitality,ts_line
2024-02-01,157271000,0.014088957094773313,222000,0.017095362294148098,All Employees,Total nonfarm,ts_line
2024-02-01,28856000,1.733042182245903e-4,37000,0.015515759727293243,All Employees,"Trade, transportation, and utilities",ts_line
2024-02-01,9155000,-1.0921799912622099e-4,-10000,-0.013015000740044802,All Employees,Financial activities,ts_line
2024-02-01,633000,-0.001577287066246047,1000,0.019153454333474373,All Employees,Mining and logging,ts_line
2024-02-01,12853000,-0.003643410852713136,-13000,-0.012057825054109461,All Employees,Manufacturing,ts_line
2024-02-01,22661000,-0.0077502408266924006,-6000,-0.0031718035225510866,All Employees,Professional and business services,ts_line
2024-02-01,2963000,-0.02916120576671033,-3000,-0.012070264315748869,All Employees,Information,ts_line
2024-01-01,26031000,0.04617795997106344,99000,0.04678639831116138,All Employees,Private education and health services,ts_line
2024-01-01,23153000,0.02938822692512888,46000,0.024152168996097068,All Employees,Government,ts_line
2024-01-01,8113000,0.02411007321383485,14000,0.020941656183408375,All Employees,Construction,ts_line
2024-01-01,5917000,0.022994467496542104,11000,0.02258053070980104,All Employees,Other services,ts_line
2024-01-01,16720000,0.02237984590925768,-8000,-0.005723809860274431,All Employees,Leisure and hospitality,ts_line
2024-01-01,157049000,0.014659516733428024,119000,0.009137645873667388,All Employees,Total nonfarm,ts_line
2024-01-01,9165000,0.0022965879265091083,-11000,-0.01429088431668979,All Employees,Financial activities,ts_line
2024-01-01,28819000,2.776717226058434e-4,-35000,-0.014459321442349626,All Employees,"Trade, transportation, and utilities",ts_line
2024-01-01,12866000,-0.0024036597658370074,1000,9.331621863726269e-4,All Employees,Manufacturing,ts_line
2024-01-01,632000,-0.003154574132492094,-5000,-0.09022970744859227,All Employees,Mining and logging,ts_line
2024-01-01,22667000,-0.00574611808053338,3000,0.001589579091657134,All Employees,Professional and business services,ts_line
2024-01-01,2966000,-0.03135205747877201,4000,0.01632617339550535,All Employees,Information,ts_line
2023-12-01,25932000,0.04661581305242768,85000,0.04018465161256701,All Employees,Private education and health services,ts_line
2023-12-01,23107000,0.032807401778929934,56000,0.02954544955341376,All Employees,Government,ts_line
2023-12-01,16728000,0.029985838310448765,4000,0.002873905354996209,All Employees,Leisure and hospitality,ts_line
2023-12-01,8099000,0.026229092752154015,14000,0.020978264847305805,All Employees,Construction,ts_line
2023-12-01,5906000,0.023215523215523115,3000,0.006115669568395488,All Employees,Other services,ts_line
2023-12-01,637000,0.01757188498402562,1000,0.01903194874307479,All Employees,Mining and logging,ts_line
2023-12-01,156930000,0.01680748496786233,269000,0.020800711467546806,All Employees,Total nonfarm,ts_line
2023-12-01,9176000,0.003828902745870222,5000,0.006562015299776958,All Employees,Financial activities,ts_line
2023-12-01,28854000,0.0037221275263505937,79000,0.033447316456171716,All Employees,"Trade, transportation, and utilities",ts_line
2023-12-01,12865000,-0.0018620529133369645,7000,0.006552494443201384,All Employees,Manufacturing,ts_line
2023-12-01,22664000,-0.005572375060330814,5000,0.00265117049893826,All Employees,Professional and business services,ts_line
2023-12-01,2962000,-0.0404923874311629,10000,0.0414163996192729,All Employees,Information,ts_line
2023-11-01,25847000,0.04508329289988677,115000,0.054967792627920176,All Employees,Private education and health services,ts_line
2023-11-01,16724000,0.03234567901234575,39000,0.02841256618088539,All Employees,Leisure and hospitality,ts_line
2023-11-01,23051000,0.030258335568070116,44000,0.023192478179543174,All Employees,Government,ts_line
2023-11-01,8085000,0.028102746693794423,9000,0.013455228645177453,All Employees,Construction,ts_line
2023-11-01,5903000,0.025004341031429123,14000,0.028903742274346333,All Employees,Other services,ts_line
2023-11-01,636000,0.019230769230769162,-2000,-0.03697570596930444,All Employees,Mining and logging,ts_line
2023-11-01,156661000,0.0158939109007199,141000,0.010863841506232097,All Employees,Total nonfarm,ts_line
2023-11-01,9171000,0.004270696452036704,-3000,-0.003917083314214476,All Employees,Financial activities,ts_line
2023-11-01,28775000,0.0016709019389424817,-55000,-0.022654137040754252,All Employees,"Trade, transportation, and utilities",ts_line
2023-11-01,12858000,-0.002946650124069472,22000,0.02076214541005661,All Employees,Manufacturing,ts_line
2023-11-01,22659000,-0.00605342808264242,-47000,-0.02455840533468212,All Employees,Professional and business services,ts_line
2023-11-01,2952000,-0.049275362318840554,5000,0.020550753303039793,All Employees,Information,ts_line
2023-10-01,25732000,0.044233422611801076,94000,0.044895344821840544,All Employees,Private education and health services,ts_line
2023-10-01,638000,0.034035656401944836,-2000,-0.03686213564548546,All Employees,Mining and logging,ts_line
2023-10-01,16685000,0.03351090188305261,49000,0.03592327671712181,All Employees,Leisure and hospitality,ts_line
2023-10-01,23007000,0.031287821058765486,69000,0.036700550233941254,All Employees,Government,ts_line
2023-10-01,8076000,0.02931430028039772,27000,0.041004470516538216,All Employees,Construction,ts_line
2023-10-01,5889000,0.025422253177781684,5000,0.010244938359594613,All Employees,Other services,ts_line
2023-10-01,156520000,0.016938140378005784,186000,0.014370921087651922,All Employees,Total nonfarm,ts_line
2023-10-01,9174000,0.006031363088057962,-8000,-0.0104052823922679,All Employees,Financial activities,ts_line
2023-10-01,28830000,0.003445755455779409,29000,0.012150054091768059,All Employees,"Trade, transportation, and utilities",ts_line
2023-10-01,22706000,-0.0034234550561798027,-18000,-0.009464066570572971,All Employees,Professional and business services,ts_line
2023-10-01,12836000,-0.0036482185826283153,-33000,-0.030341317547395552,All Employees,Manufacturing,ts_line
2023-10-01,2947000,-0.04781906300484651,-26000,-0.10004100978594532,All Employees,Information,ts_line
