date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.010980307676711432,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-05-01,Monthly,0.010513116765941133,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.011336314904684786,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-04-01,Monthly,0.011131576777440921,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.011160700114908328,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-03-01,Monthly,0.009085398327269845,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.011979322316256757,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-02-01,Monthly,0.0077227493002289815,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.012760348680984857,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2025-01-01,Monthly,0.008412679923907485,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.012821002994965802,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-12-01,Monthly,0.024711455828389628,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.012498324407478556,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-11-01,Monthly,0.019958245470675484,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.011742908254536166,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-10-01,Monthly,0.003340246933691615,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.01266519119321452,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-09-01,Monthly,0.01837222835632124,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.012152955639791019,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-08-01,Monthly,0.005405649585298322,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.012716399925650101,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-07-01,Monthly,0.006707675624562981,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.013113407882158867,All Employees,Level,Year-over-year,Percent change,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
2024-06-01,Monthly,0.006634887363927255,All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total nonfarm,Seasonally adjusted,Time series line
