date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,seas_adj_text,viz_type_text
2025-05-01,Monthly,0.038693035253654307,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-05-01,Monthly,0.051031381590315616,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-04-01,Monthly,0.0385611510791366,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-04-01,Monthly,0.023571259331915506,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-03-01,Monthly,0.038938563599653975,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-03-01,Monthly,0.040857123613634805,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-02-01,Monthly,0.0393746381007527,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-02-01,Monthly,0.023697599615557063,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-01-01,Monthly,0.03945459820133457,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2025-01-01,Monthly,0.05163141111654257,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
2024-12-01,Monthly,0.039930049548236646,Average Hourly Earnings Of All Employees,Level,Year-over-year,Percent change,Nation,US,Total private,Seasonally adjusted,Time Series Line
2024-12-01,Monthly,0.023845590853768472,Average Hourly Earnings Of All Employees,Level,Month-over-month,Percent change;Annualized,Nation,US,Total private,Seasonally adjusted,Time Series Line
